Digi-Key Part No.,Manufacturer Name,Mfr Part No.,Customer Reference,Qty1,
311-1344-1-ND,Yaego,CC0603KRX7R9BB104,REF2,9,
P10.0KHCT-ND,Panasonic,ERJ-3EKF1002V,REF8,3,
T491B106K016AT,Kemet,T491B106K016AT,REF4,1,
XC1382-ND,ECS Inc,ECS-147.4-18-9X,REF20,1,
311-1062-1-ND,Yaego,CC0603JRNPO9BN220,REF3,2,
742C083470JPCT-ND,CTS Resistor Products,742C083470JTR,REF10,1,
P47.5HCT-ND,Panasonic,ERJ-3EKF47R5V,REF5,2,
P100HCT-ND,Panasonic,ERJ-3EKF1000V,REF6,1,
P100KHCT-ND,Panasonic,ERJ-3EKF1003V,REF9,1,
P475HCT-ND,Panasonic,ERJ-3EKF4750V,REF7,1,
ED7150-ND,Mill-Max Manufacturing,801-93-050-10-001000,REF19,1,
3M9447-ND,3M,961102-6404-AR,REF22,1,
3M9459-ND,3M,961206-6404-AR,REF21,1,
3M9580-ND,3M,969102-0000-DA,REF23,1,
ATMEGA8-16AU-ND,Atmel Corp,ATMEGA8-16AU,REF12,1,
160-1183-1-ND,Lite-On Inc,LTST-C190GKT,REF17,1,
296-13092-1-ND,Texas Instruments,MAX3223IPWR,REF11,1,
MBR140SFT1GOSCT-ND,ON Semiconductor,MBR140SFT1G,REF15,1,
MMBT3904LT1INCT-ND,Infineon Technologies,MMBT3904LT1,REF13,2,
MMSD4148CT-ND,Fairchild Semiconductor,MMSD4148,REF16,1,
